TOP,JUNGLE,MIDDLE,BOTTOM,SUPPORT
Zed,Evelynn,Aurelion Sol,Lucian,Nautilus
Vayne,Shaco,Vel'Koz,Varus,Thresh
Kled,Sett,Fizz,Draven,Soraka
Ryze,Olaf,Talon,Miss Fortune,Thresh
Renekton,Nidalee,Morgana,Aphelios,Nautilus
Jax,Sejuani,Lux,Senna,Poppy
Mordekaiser,Udyr,Malzahar,Aphelios,Senna
Darius,Hecarim,Katarina,Twitch,Nautilus
Darius,Lee Sin,Ekko,Xayah,Rakan
Morgana,Nunu & Willump,Camille,Neeko,Senna
Karma,Kha'Zix,Nunu & Willump,Heimerdinger,Bard
Nasus,Zac,Neeko,Ezreal,Yuumi
Lulu,Vi,Master Yi,Xerath,Yuumi
Jayce,Fiddlesticks,Zed,Miss Fortune,Leona
Volibear,Rek'Sai,Diana,Vayne,Bard
Master Yi,Maokai,Xerath,Ezreal,Zyra
Sylas,Master Yi,Lee Sin,Vayne,Lulu
Gnar,Zac,Lissandra,Caitlyn,Lux
Aatrox,Master Yi,Heimerdinger,Ezreal,Soraka
Wukong,Kha'Zix,Orianna,Kog'Maw,Lulu
Nasus,Master Yi,Veigar,Ashe,Shen
Ornn,Kha'Zix,Azir,Karthus,Sona
Master Yi,Ekko,Orianna,Kai'Sa,Yuumi
Kayle,Lee Sin,Karma,Ezreal,Nautilus
Sion,Xin Zhao,Ahri,Ashe,Lulu
Master Yi,Lee Sin,Galio,Draven,Thresh
Maokai,Ekko,Rumble,Ezreal,Yuumi
Sion,Rengar,Vladimir,Miss Fortune,Lulu
Volibear,Master Yi,Katarina,Ashe,Yuumi
Darius,Nidalee,Renekton,Cassiopeia,Soraka
Ornn,Master Yi,Zoe,Lucian,Pyke
Darius,Kha'Zix,Ryze,Kai'Sa,Bard
Darius,Wukong,Katarina,Yasuo,Rakan
Renekton,Kha'Zix,Cassiopeia,Lucian,Janna
Poppy,Nunu & Willump,Twisted Fate,Ashe,Leona
Akali,Master Yi,Orianna,Aphelios,Yuumi
Fiddlesticks,Kha'Zix,Kassadin,Xayah,Janna
Kled,Master Yi,Darius,Caitlyn,Morgana
Kayle,Master Yi,Katarina,Ezreal,Pyke
Malphite,Fiddlesticks,Yasuo,Jhin,Bard
Darius,Kha'Zix,Twisted Fate,Twitch,Bard
Master Yi,Ekko,Malzahar,Kai'Sa,Thresh
Mordekaiser,Kha'Zix,Pantheon,Ezreal,Yuumi
Master Yi,Shyvana,Zed,Ashe,Sona
Sion,Rek'Sai,Nocturne,Syndra,Thresh
Master Yi,Ivern,Ekko,Vayne,Lulu
Kled,Master Yi,Ziggs,Ezreal,Bard
Darius,Nocturne,Corki,Twitch,Lulu
Orianna,Kayn,Ahri,Draven,Thresh
Master Yi,Volibear,Morgana,Kai'Sa,Xerath
Master Yi,Zac,Lux,Tristana,Janna
Lucian,Taliyah,Gangplank,Kai'Sa,Thresh
Quinn,Trundle,Fizz,Wukong,Senna
Dr. Mundo,Master Yi,Lux,Draven,Thresh
Tryndamere,Graves,Vladimir,Veigar,Leona
Master Yi,Zac,Gragas,Aphelios,Lulu
Gragas,Graves,Yasuo,Rengar,Senna
Heimerdinger,Master Yi,Katarina,Ezreal,Yuumi
Wukong,Master Yi,Katarina,Kog'Maw,Lulu
Cassiopeia,Jarvan IV,Fiddlesticks,Tristana,Leona
Ornn,Master Yi,Sylas,Ezreal,Rakan
Fiddlesticks,Rengar,Cassiopeia,Lucian,Thresh
Kled,Kha'Zix,Sylas,Miss Fortune,Senna
Mordekaiser,Master Yi,Zed,Jhin,Morgana
Volibear,Fiddlesticks,Pantheon,Ashe,Morgana
Urgot,Master Yi,Zoe,Jhin,Thresh
Sion,Fiddlesticks,Ryze,Ashe,Karma
Garen,Master Yi,Vladimir,Kalista,Vel'Koz
Jax,Kha'Zix,Lux,Vel'Koz,Rakan
Mordekaiser,Master Yi,Nocturne,Yasuo,Soraka
Fiddlesticks,Shaco,Kassadin,Veigar,Leona
Fiora,Master Yi,Riven,Vayne,Bard
Teemo,Olaf,Ekko,Sivir,Leona
Warwick,Master Yi,Vladimir,Varus,Morgana
Shen,Kha'Zix,Yasuo,Caitlyn,Leona
Kayle,Master Yi,Katarina,Jhin,Bard
Gragas,Zac,Yasuo,Ezreal,Blitzcrank
Cho'Gath,Master Yi,Lulu,Lucian,Bard
Darius,Master Yi,Ekko,Ahri,Morgana
Gnar,Rengar,Qiyana,Orianna,Thresh
Camille,Wukong,Ekko,Ezreal,Bard
Renekton,Vi,Talon,Aphelios,Xerath
Tryndamere,Master Yi,Sylas,Ezreal,Taric
Gnar,Volibear,Vladimir,Vayne,Lulu
Camille,Sejuani,Kassadin,Draven,Braum
Maokai,Graves,Galio,Ezreal,Thresh
Sett,Lee Sin,Taliyah,Kalista,Taric
Yasuo,Master Yi,Ahri,Zilean,Senna
Master Yi,Kayn,Lux,Kai'Sa,Bard
Fiora,Volibear,Lissandra,Tristana,Nami
Gnar,Rengar,Galio,Kog'Maw,Lulu
Master Yi,Jarvan IV,Twisted Fate,Sivir,Bard
Irelia,Jarvan IV,Lissandra,Soraka,Leona
Shen,Master Yi,Lulu,Cassiopeia,Morgana
Volibear,Kayn,Zoe,Trundle,Senna
Sion,Ekko,Katarina,Twitch,Rakan
Volibear,Master Yi,Cassiopeia,Ezreal,Xerath
Renekton,Vi,Katarina,Xayah,Lulu
Wukong,Evelynn,Lucian,Yasuo,Leona
Sion,Master Yi,Vel'Koz,Heimerdinger,Soraka
Zac,Hecarim,Vel'Koz,Vayne,Sett
Camille,Master Yi,Taric,Kai'Sa,Blitzcrank
Kayle,Volibear,Heimerdinger,Ezreal,Senna
Urgot,Master Yi,Lulu,Yasuo,Bard
Darius,Sylas,Ryze,Varus,Yuumi
Cho'Gath,Master Yi,Lulu,Ezreal,Nautilus
Yorick,Ivern,Katarina,Ezreal,Leona
Fiora,Master Yi,Vel'Koz,Vayne,Thresh
Maokai,Kha'Zix,Veigar,Ezreal,Nami
Wukong,Master Yi,Lux,Lucian,Zilean
Maokai,Rek'Sai,Veigar,Ezreal,Senna
Malphite,Master Yi,Lux,Xayah,Rakan
Ornn,Udyr,Vel'Koz,Kalista,Thresh
Rengar,Master Yi,Talon,Vayne,Janna
Ornn,Master Yi,Talon,Caitlyn,Brand
Shen,Ekko,Sylas,Aphelios,Taric
Sylas,Lee Sin,Ryze,Ezreal,Yuumi
Azir,Master Yi,Talon,Yasuo,Nami
Fiora,Master Yi,Talon,Lucian,Janna
Cho'Gath,Karthus,Yasuo,Kalista,Leona
Gangplank,Ekko,Kassadin,Kai'Sa,Nautilus
Fiora,Master Yi,Talon,Varus,Lulu
Fiora,Master Yi,Talon,Ezreal,Soraka
Garen,Kayn,Vel'Koz,Heimerdinger,Leona
Jax,Olaf,Katarina,Kai'Sa,Taric
Fiora,Master Yi,Talon,Xerath,Janna
Fiora,Master Yi,Talon,Lucian,Yuumi
Malphite,Vi,Vel'Koz,Ezreal,Janna
Yasuo,Lee Sin,Lissandra,Kalista,Sett
Malphite,Master Yi,Talon,Vayne,Yuumi
Master Yi,Lee Sin,Talon,Lucian,Yuumi
Tryndamere,Zac,Yasuo,Vayne,Lulu
Poppy,Kayn,Azir,Caitlyn,Pyke
Tryndamere,Sejuani,Diana,Ashe,Thresh
Mordekaiser,Volibear,Katarina,Vayne,Nautilus
Renekton,Master Yi,Syndra,Kalista,Bard
Darius,Kayn,Twisted Fate,Ezreal,Yuumi
Renekton,Jarvan IV,Orianna,Vayne,Lulu
Malphite,Master Yi,Lissandra,Caitlyn,Nami
Teemo,Nunu & Willump,Kha'Zix,Vayne,Braum
Riven,Master Yi,Fizz,Ezreal,Lulu
Aatrox,Fiddlesticks,Lux,Jhin,Pyke
Camille,Master Yi,Irelia,Caitlyn,Soraka
Sett,Graves,Vladimir,Lucian,Yuumi
Sion,Master Yi,Lissandra,Kai'Sa,Karma
Vladimir,Graves,Zed,Vayne,Lulu
Quinn,Lee Sin,Cassiopeia,Vayne,Yuumi
Maokai,Master Yi,Lissandra,Kog'Maw,Lulu
Renekton,Master Yi,Diana,Vayne,Lulu
Mordekaiser,Olaf,Ekko,Draven,Taric
Maokai,Master Yi,Galio,Kalista,Morgana
Kled,Rammus,Cassiopeia,Ashe,Zilean
Fiora,Rek'Sai,Diana,Vayne,Thresh
Nasus,Master Yi,Veigar,Ezreal,Lulu
Twisted Fate,Jax,Yasuo,Syndra,Xerath
Taric,Master Yi,Lux,Ezreal,Yuumi
Syndra,Warwick,Garen,Varus,Zilean
Shen,Lee Sin,Morgana,Kalista,Thresh
Akali,Shyvana,Fizz,Caitlyn,Lulu
Shen,Master Yi,Twisted Fate,Varus,Karma
Maokai,Master Yi,Ekko,Vayne,Lulu
Sion,Shaco,Vel'Koz,Miss Fortune,Nami
Illaoi,Zac,Sylas,Varus,Thresh
Wukong,Master Yi,Fizz,Kai'Sa,Soraka
Poppy,Zac,Pantheon,Syndra,Leona
Ornn,Master Yi,LeBlanc,Miss Fortune,Thresh
Sion,Teemo,Lulu,Jinx,Bard
Maokai,Master Yi,Galio,Miss Fortune,Nami
Darius,Master Yi,Ryze,Caitlyn,Lulu
Maokai,Sylas,Syndra,Ezreal,Taric
Sion,Kayn,Lissandra,Aphelios,Alistar
Darius,Master Yi,Ryze,Jhin,Nautilus
Malphite,Poppy,Vladimir,Ezreal,Soraka
Maokai,Master Yi,Ryze,Caitlyn,Lulu
Renekton,Kayn,Orianna,Lucian,Nautilus
Maokai,Master Yi,Corki,Ezreal,Lulu
Jarvan IV,Lee Sin,Xerath,Aphelios,Leona
Maokai,Master Yi,Lissandra,Sivir,Vel'Koz
Ornn,Nocturne,LeBlanc,Ezreal,Karma
Maokai,Master Yi,Diana,Xayah,Leona
Renekton,Master Yi,Lulu,Miss Fortune,Nami
Garen,Shaco,Ahri,Varus,Leona
Ornn,Ekko,Yasuo,Varus,Taliyah
Master Yi,Kindred,Cho'Gath,Vayne,Taric
Malphite,Xin Zhao,Ekko,Taliyah,Senna
Master Yi,Kha'Zix,Sylas,Ashe,Nami
Rengar,Evelynn,Cassiopeia,Varus,Janna
Maokai,Master Yi,Talon,Aphelios,Morgana
Maokai,Master Yi,Kassadin,Kai'Sa,Thresh
Poppy,Sylas,Ryze,Vayne,Taric
Irelia,Master Yi,Karma,Varus,Lulu
Sion,Skarner,Zoe,Lucian,Thresh
Camille,Master Yi,Kassadin,Ezreal,Nami
Sion,Fiddlesticks,Akali,Ziggs,Lulu
Ornn,Master Yi,Lulu,Sivir,Nami
Maokai,Jarvan IV,Veigar,Vayne,Poppy
Akali,Lee Sin,Pantheon,Kai'Sa,Nautilus
Irelia,Master Yi,Lulu,Varus,Nami
Darius,Trundle,Vladimir,Kog'Maw,Yuumi
Malphite,Master Yi,Azir,Miss Fortune,Lulu
Maokai,Master Yi,Lissandra,Xayah,Nautilus
Mordekaiser,Kha'Zix,Ryze,Ashe,Taric
Maokai,Master Yi,Talon,Kai'Sa,Nautilus
Nasus,Lee Sin,Katarina,Ashe,Janna
Mordekaiser,Kayn,Orianna,Miss Fortune,Nami
Fiora,Master Yi,Azir,Veigar,Nautilus
Aatrox,Kayn,Lucian,Tristana,Thresh
Quinn,Master Yi,Azir,Vayne,Nautilus
Teemo,Jarvan IV,LeBlanc,Draven,Leona
Illaoi,Sejuani,Lulu,Kog'Maw,Karma
Nasus,Master Yi,Lux,Corki,Morgana
Dr. Mundo,Nocturne,Pantheon,Kai'Sa,Leona
Maokai,Master Yi,Rumble,Ezreal,Nami
Aatrox,Jax,Ryze,Vayne,Lulu
Maokai,Master Yi,Diana,Kai'Sa,Thresh
Mordekaiser,Vi,Ekko,Draven,Soraka
Garen,Kayn,LeBlanc,Kog'Maw,Lulu
Fiora,Lee Sin,Master Yi,Varus,Pyke
Quinn,Rek'Sai,Azir,Ezreal,Pyke
Sion,Master Yi,Veigar,Kai'Sa,Thresh
Riven,Zac,Qiyana,Caitlyn,Leona
Sion,Master Yi,Kassadin,Jinx,Soraka
Cho'Gath,Jarvan IV,LeBlanc,Xayah,Rakan
Darius,Master Yi,Galio,Kai'Sa,Leona
Darius,Ekko,Talon,Ezreal,Yuumi
Vayne,Jarvan IV,Rumble,Lucian,Sett
Gangplank,Shen,Ziggs,Ezreal,Braum
Master Yi,Zac,Lissandra,Kai'Sa,Taric
Garen,Kindred,Syndra,Tristana,Braum
Jarvan IV,Master Yi,Zoe,Draven,Thresh
Mordekaiser,Shaco,Zed,Kog'Maw,Braum
Graves,Master Yi,Ekko,Draven,Thresh
Riven,Master Yi,Vladimir,Draven,Thresh
Irelia,Nidalee,Zed,Caitlyn,Lux
Gangplank,Rek'Sai,Lissandra,Jinx,Galio
Swain,Master Yi,Akali,Lucian,Morgana
Vladimir,Master Yi,Qiyana,Jhin,Thresh
Graves,Fiddlesticks,Sylas,Xayah,Senna
Yorick,Twitch,Ornn,Vayne,Nami
Darius,Wukong,Mordekaiser,Ezreal,Senna
Mordekaiser,Ekko,Yasuo,Miss Fortune,Nami
Sett,Master Yi,LeBlanc,Jinx,Lulu
Volibear,Master Yi,Kassadin,Jhin,Thresh
Darius,Sejuani,Irelia,Kalista,Taric
Mordekaiser,Master Yi,Kassadin,Kai'Sa,Thresh
Malphite,Volibear,Ekko,Vayne,Blitzcrank
Gnar,Shaco,Katarina,Ezreal,Nami
Karma,Master Yi,Malzahar,Caitlyn,Zilean
Maokai,Master Yi,Orianna,Caitlyn,Nautilus
Darius,Shaco,Ziggs,Sivir,Xerath
Mordekaiser,Jarvan IV,LeBlanc,Kai'Sa,Sett
Volibear,Master Yi,Lux,Vayne,Lulu
Renekton,Jarvan IV,Vel'Koz,Caitlyn,Leona
Volibear,Master Yi,Veigar,Kalista,Nautilus
Yasuo,Olaf,Viktor,Tristana,Morgana
Kalista,Master Yi,LeBlanc,Ezreal,Leona
Illaoi,Ekko,Xerath,Caitlyn,Lulu
Aatrox,Kha'Zix,Kennen,Miss Fortune,Leona
Darius,Kha'Zix,Xerath,Kog'Maw,Lulu
Garen,Sejuani,Zoe,Ashe,Bard
Jax,Morgana,Nocturne,Xayah,Nautilus
Wukong,Graves,Gragas,Kai'Sa,Janna
Shen,Kha'Zix,Vel'Koz,Jhin,Senna
Darius,Graves,Syndra,Xerath,Bard
Garen,Kha'Zix,Ekko,Draven,Nami
Kled,Shaco,Vladimir,Ziggs,Bard
Darius,Kha'Zix,Veigar,Lucian,Bard
Renekton,Kayn,Lissandra,Vayne,Lulu
Vladimir,Vi,Zed,Ezreal,Nautilus
Malphite,Jarvan IV,Tristana,Caitlyn,Bard
Malphite,Kayn,LeBlanc,Draven,Bard
Sion,Graves,Galio,Kai'Sa,Taric
Shaco,Ivern,Katarina,Ashe,Janna
Vladimir,Kha'Zix,Nunu & Willump,Twitch,Senna
Mordekaiser,Kayn,Nocturne,Varus,Bard
Wukong,Trundle,Kassadin,Vayne,Lulu
Wukong,Nidalee,Galio,Twitch,Bard
Camille,Nunu & Willump,Orianna,Caitlyn,Senna
Darius,Jarvan IV,Fiddlesticks,Vayne,Zilean
Malphite,Dr. Mundo,Karma,Ezreal,Bard
Fiora,Nunu & Willump,Karma,Ashe,Pyke
Nasus,Kayn,Ekko,Caitlyn,Bard
Aatrox,Master Yi,Ekko,Ashe,Bard
Jax,Shyvana,Orianna,Caitlyn,Rakan
Irelia,Fiddlesticks,Kog'Maw,Tristana,Lulu
Aatrox,Graves,Twisted Fate,Caitlyn,Bard
Sett,Shaco,Orianna,Yasuo,Bard
Volibear,Jarvan IV,Xerath,Ezreal,Senna
Pantheon,Volibear,LeBlanc,Jhin,Bard
Mordekaiser,Kayn,Jax,Aphelios,Nautilus
LeBlanc,Volibear,Irelia,Ezreal,Bard
Diana,Sejuani,Riven,Jhin,Vel'Koz
Maokai,Nunu & Willump,Twisted Fate,Kog'Maw,Lulu
Sylas,Nidalee,Kayle,Sivir,Janna
Fiora,Karthus,Bard,Twitch,Lulu
Karma,Nidalee,Twisted Fate,Senna,Janna
Garen,Olaf,Kassadin,Lucian,Vel'Koz
Malphite,Fiddlesticks,Ezreal,Jhin,Bard
Garen,Graves,Azir,Draven,Karma
Darius,Fiddlesticks,Vel'Koz,Miss Fortune,Bard
Jax,Olaf,Akali,Ezreal,Yuumi
Shen,Vi,Diana,Sivir,Bard
Ornn,Kha'Zix,Vladimir,Jhin,Bard
Sett,Shaco,Ryze,Twitch,Lulu
Illaoi,Udyr,Yasuo,Cassiopeia,Bard
Darius,Zac,Irelia,Sivir,Vel'Koz
Kled,Kayn,LeBlanc,Caitlyn,Senna
Shen,Nidalee,Kassadin,Ashe,Bard
Maokai,Ivern,Orianna,Kai'Sa,Lulu
Ahri,Aatrox,Cassiopeia,Ezreal,Pyke
Volibear,Shyvana,Viktor,Aphelios,Bard
Ornn,Graves,Orianna,Miss Fortune,Lulu
Irelia,Ekko,Veigar,Ezreal,Lux
Fiora,Nunu & Willump,Jax,Vayne,Alistar
Malphite,Lee Sin,LeBlanc,Vayne,Bard
Sylas,Kayn,Zed,Kai'Sa,Karma
Teemo,Jarvan IV,Zed,Lucian,Pyke
Nasus,Nunu & Willump,Vel'Koz,Ezreal,Bard
Urgot,Nocturne,Kassadin,Syndra,Bard
Camille,Morgana,Ekko,Lucian,Janna
Fiora,Rengar,Viktor,Miss Fortune,Senna
Yasuo,Evelynn,Syndra,Ezreal,Bard
Ekko,Vi,Cassiopeia,Twitch,Lulu
Zed,Karthus,Mordekaiser,Jinx,Bard
Kled,Kayn,LeBlanc,Draven,Bard
Tryndamere,Nunu & Willump,Vladimir,Varus,Nami
Malphite,Shyvana,Master Yi,Draven,Bard
Yasuo,Lee Sin,Lux,Jhin,Yuumi
Poppy,Wukong,Cho'Gath,Miss Fortune,Bard
Fiora,Rengar,Sylas,Caitlyn,Karma
Shen,Zac,Ryze,Kai'Sa,Bard
Cho'Gath,Graves,Galio,Ezreal,Swain
Akali,Evelynn,Syndra,Lucian,Nautilus
Maokai,Kayn,Galio,Ezreal,Bard
Jayce,Karthus,Ahri,Jhin,Soraka
Garen,Fiddlesticks,Zed,Aphelios,Bard
Sylas,Graves,Yasuo,Viktor,Bard
Akali,Ivern,Vladimir,Pyke,Senna
Kayn,Vi,Zed,Ziggs,Bard
Maokai,Taliyah,Zoe,Lucian,Leona
Mordekaiser,Kha'Zix,Lux,Kai'Sa,Soraka
Fiora,Sejuani,Zed,Caitlyn,Bard
Mordekaiser,Graves,Lux,Xayah,Lulu
Malphite,Master Yi,Taric,Miss Fortune,Karma
Malphite,Nocturne,Irelia,Miss Fortune,Bard
Jax,Hecarim,Katarina,Jinx,Janna
Darius,Fiddlesticks,Kassadin,Caitlyn,Bard
Jax,Graves,Ekko,Lucian,Thresh
Gangplank,Nocturne,Ryze,Ezreal,Janna
Kled,Kayn,Katarina,Jhin,Bard
Renekton,Nunu & Willump,Lux,Kalista,Thresh
Kled,Ekko,Ezreal,Lucian,Blitzcrank
Akali,Evelynn,Morgana,Lucian,Pyke
Bard,Nidalee,Cassiopeia,Vayne,Lulu
Malphite,Lee Sin,Malzahar,Varus,Leona
Mordekaiser,Fiddlesticks,Kled,Tristana,Bard
Ornn,Nidalee,Cassiopeia,Ashe,Janna
Darius,Jarvan IV,Vladimir,Caitlyn,Bard
Ornn,Kayn,Zed,Draven,Bard
Maokai,Nunu & Willump,Orianna,Aphelios,Blitzcrank
Jax,Shyvana,LeBlanc,Tristana,Bard
Urgot,Lee Sin,Heimerdinger,Vayne,Pyke
Maokai,Sejuani,Diana,Ezreal,Bard
Gangplank,Shaco,Mordekaiser,Vayne,Galio
Urgot,Ekko,LeBlanc,Xayah,Rakan
Shen,Fiddlesticks,Aurelion Sol,Draven,Bard
Tryndamere,Ekko,Irelia,Brand,Senna
Gnar,Kha'Zix,Morgana,Malzahar,Bard
Tryndamere,Olaf,Cho'Gath,Heimerdinger,Blitzcrank
Vladimir,Rengar,Syndra,Varus,Bard
Sett,Elise,Zed,Varus,Bard
Kled,Rengar,Lux,Kai'Sa,Rakan
Riven,Graves,Cassiopeia,Draven,Bard
Kayle,Lee Sin,Xerath,Kalista,Janna
Gnar,Trundle,Aurelion Sol,Ezreal,Thresh
Sett,Karthus,Orianna,Vayne,Pyke
Volibear,Lee Sin,Zoe,Ezreal,Bard
Aatrox,Kayn,Talon,Tristana,Nautilus
Dr. Mundo,Ivern,Ekko,Kai'Sa,Thresh
Illaoi,Wukong,Cho'Gath,Ezreal,Bard
Darius,Jarvan IV,Xerath,Kai'Sa,Thresh
Fiora,Sejuani,Zoe,Caitlyn,Bard
Bard,Ivern,Ekko,Tristana,Lux
Nocturne,Jarvan IV,Corki,Xayah,Rakan
Cho'Gath,Fiddlesticks,Vladimir,Tristana,Rakan
Graves,Shyvana,Ezreal,Jhin,Morgana
Maokai,Nunu & Willump,Ezreal,Tristana,Pyke
Cho'Gath,Fiddlesticks,Vladimir,Aphelios,Bard
Aatrox,Jarvan IV,Cassiopeia,Syndra,Pyke
Vladimir,Graves,Yasuo,Lucian,Braum
Kled,Lee Sin,Orianna,Miss Fortune,Pyke
Aatrox,Rek'Sai,Cho'Gath,Ezreal,Nautilus
Shen,Kayn,Aatrox,Ashe,Bard
Yorick,Shaco,Kassadin,Miss Fortune,Senna
Vladimir,Warwick,Ryze,Xayah,Rakan
Riven,Master Yi,Sylas,Ezreal,Bard
Neeko,Hecarim,Kassadin,Miss Fortune,Bard
Ornn,Elise,Fizz,Ezreal,Rakan
Sett,Graves,Kassadin,Caitlyn,Braum
Renekton,Sejuani,Lucian,Jhin,Bard
Shen,Shaco,Sylas,Xayah,Nautilus
Aatrox,Master Yi,Malzahar,Ezreal,Bard
Mordekaiser,Kha'Zix,Syndra,Lucian,Nautilus
Ornn,Hecarim,Anivia,Kai'Sa,Thresh
Camille,Jarvan IV,Galio,Kai'Sa,Janna
Maokai,Rengar,Vladimir,Vayne,Leona
Gnar,Zac,Ziggs,Caitlyn,Thresh
Ryze,Ivern,Talon,Jinx,Morgana
Akali,Kayn,Anivia,Vayne,Lulu
Gnar,Ekko,Cassiopeia,Jhin,Soraka
Sion,Volibear,Ekko,Kog'Maw,Lulu
Gnar,Fiddlesticks,Lissandra,Vayne,Thresh
Shen,Xin Zhao,Ekko,Ezreal,Yuumi
Akali,Zac,Corki,Vayne,Sett
Aatrox,Kayn,Kassadin,Vayne,Yuumi
Vladimir,Rek'Sai,Pantheon,Varus,Bard
Darius,Rek'Sai,Orianna,Vayne,Soraka
Renekton,Kayn,Zilean,Caitlyn,Bard
Jax,Vi,Katarina,Draven,Braum
Fiora,Gragas,Heimerdinger,Ezreal,Vel'Koz
Garen,Sejuani,Zoe,Tristana,Yuumi
Jax,Jarvan IV,Kassadin,Ezreal,Alistar
Mordekaiser,Graves,Pantheon,Vayne,Lulu
Yasuo,Master Yi,Kassadin,Ezreal,Yuumi
Gangplank,Vi,Lux,Ezreal,Brand
Renekton,Sejuani,Fizz,Vayne,Karma
Fiddlesticks,Shaco,Kassadin,Veigar,Leona
Fiora,Master Yi,Riven,Vayne,Bard
Darius,Rengar,Cassiopeia,Tristana,Bard
Ornn,Shaco,Galio,Varus,Xerath
Shen,Kha'Zix,Yasuo,Caitlyn,Leona
Kayle,Master Yi,Katarina,Jhin,Bard
Gragas,Zac,Yasuo,Ezreal,Blitzcrank
Cho'Gath,Master Yi,Lulu,Lucian,Bard
Vladimir,Zac,Yasuo,Kai'Sa,Sett
Shen,Shyvana,Syndra,Ezreal,Senna
Shen,Hecarim,Gragas,Sivir,Karma
Jax,Rengar,Zoe,Xayah,Thresh
Riven,Kayn,Kassadin,Aphelios,Bard
Kayle,Jax,Twisted Fate,Vayne,Karma
Jax,Volibear,Syndra,Varus,Leona
Sett,Warwick,Twisted Fate,Vayne,Karma
Sett,Warwick,Orianna,Aphelios,Janna
Aatrox,Zac,Corki,Ezreal,Bard
Jayce,Wukong,Zoe,Vayne,Thresh
Tryndamere,Kayn,Zilean,Ezreal,Karma
Mordekaiser,Zac,Twisted Fate,Draven,Nami
Jayce,Jarvan IV,Vladimir,Ezreal,Vel'Koz
Gnar,Trundle,Lux,Senna,Lulu
Hecarim,Karthus,Cho'Gath,Vayne,Soraka
Wukong,Evelynn,Viktor,Yasuo,Poppy
Vladimir,Zac,Cassiopeia,Miss Fortune,Leona
Renekton,Jarvan IV,Twisted Fate,Twitch,Lulu
Irelia,Kha'Zix,Diana,Vayne,Nami
Fiora,Kayn,Syndra,Ezreal,Leona
Jax,Zac,LeBlanc,Lucian,Janna
Yorick,Zac,Vel'Koz,Caitlyn,Zilean
Shen,Trundle,Annie,Sivir,Lulu
Yasuo,Kindred,Syndra,Kai'Sa,Soraka
Darius,Kayn,Vel'Koz,Vayne,Nami
Ornn,Nunu & Willump,Garen,Lucian,Soraka
Akali,Master Yi,Sylas,Vayne,Brand
Kennen,Vi,Lux,Varus,Xerath
Tryndamere,Kha'Zix,Rumble,Vayne,Nami
Garen,Lee Sin,Lissandra,Ashe,Kled
Mordekaiser,Graves,Ziggs,Yasuo,Taric
Gnar,Graves,Twisted Fate,Ezreal,Janna
Darius,Zac,Orianna,Vayne,Senna
Cassiopeia,Rek'Sai,Ahri,Draven,Lulu
Sylas,Zac,Orianna,Kai'Sa,Pyke
Kha'Zix,Rek'Sai,Orianna,Kai'Sa,Lulu
Aatrox,Trundle,Nocturne,Heimerdinger,Alistar
Tristana,Shaco,Gnar,Ezreal,Bard
Quinn,Nidalee,Yasuo,Neeko,Lux
Gangplank,Graves,Sylas,Lucian,Nautilus
Kayn,Gragas,Yasuo,Kai'Sa,Soraka
Yorick,Shaco,Ziggs,Miss Fortune,Leona
Aatrox,Elise,Sylas,Kai'Sa,Pyke
Ornn,Kayn,Malzahar,Ezreal,Yuumi
Gnar,Evelynn,Ryze,Tristana,Nautilus
Malphite,Nocturne,Malzahar,Miss Fortune,Nautilus
Lulu,Olaf,Zoe,Vayne,Yuumi
Riven,Kayn,Akali,Jinx,Taric
Urgot,Lee Sin,Syndra,Vayne,Nami
Sett,Kayn,Cassiopeia,Ezreal,Bard
Shen,Gragas,Nocturne,Caitlyn,Soraka
Cho'Gath,Kayn,Zoe,Kalista,Nautilus
Urgot,Gragas,Cassiopeia,Vayne,Sett
Cassiopeia,Rek'Sai,Rumble,Aphelios,Yuumi
Darius,Jarvan IV,Yasuo,Draven,Braum
Skarner,Lee Sin,Malzahar,Kai'Sa,Pyke
Vladimir,Olaf,Talon,Cassiopeia,Nami
Pantheon,Shen,Diana,Xayah,Nami
Riven,Lee Sin,Corki,Ashe,Volibear
Master Yi,Kayn,Sylas,Kai'Sa,Nami
Sett,Sejuani,Annie,Ezreal,Yuumi
Cho'Gath,Lee Sin,Camille,Jhin,Leona
Malphite,Sylas,Qiyana,Miss Fortune,Thresh
Fiora,Lee Sin,Twisted Fate,Jinx,Karma
Akali,Zac,Kayn,Vayne,Janna
Shyvana,Nunu & Willump,Syndra,Twitch,Soraka
Darius,Gragas,Vladimir,Vayne,Xerath
Malphite,Vi,Sylas,Lucian,Braum
Rengar,Ekko,Zed,Ezreal,Nami
Aatrox,Lee Sin,Nocturne,Kog'Maw,Lulu
Wukong,Zac,Sylas,Aphelios,Karma
Quinn,Ekko,Heimerdinger,Tristana,Thresh
Graves,Lee Sin,Ryze,Miss Fortune,Nami
Kayle,Ekko,Akali,Tristana,Taric
Mordekaiser,Lee Sin,Soraka,Draven,Zilean
Sylas,Rek'Sai,Ahri,Kai'Sa,Blitzcrank
Vladimir,Lee Sin,Twisted Fate,Yasuo,Senna
Trundle,Nocturne,Lucian,Swain,Senna
Garen,Kha'Zix,Katarina,Miss Fortune,Vel'Koz
Tryndamere,Kha'Zix,Diana,Xayah,Zilean
Sett,Nunu & Willump,Fizz,Ezreal,Yuumi
